# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
120320 117.5 0.122192429818915
120832 118 0.122464181074872
121344 118.5 0.122734953281319
121856 119 0.123004602159046
122368 119.5 0.123272897644694
122880 120 0.123539557503784
123392 120.5 0.123804310402045
123904 121 0.12406691908062
124416 121.5 0.124327151418179
124928 122 0.124584744562866
125440 122.5 0.124839409197919
125952 123 0.125090871925922
126464 123.5 0.125338892567575
126976 124 0.125583212077212
127488 124.5 0.125823492070611
128000 125 0.126059348496106
128512 125.5 0.126290460352273
129024 126 0.126516603539422
129536 126.5 0.126737538729692
130048 127 0.126952896060246
130560 127.5 0.127162232871754
131072 128 0.127365209876324
131584 128.5 0.127561657435282
132096 129 0.127751448924658
132608 129.5 0.127934362287806
133120 130 0.128110116807993
133632 130.5 0.128278521790502
134144 131 0.128439534913968
134656 131.5 0.128593175230777
135168 132 0.128739428902041
135680 132.5 0.128878254187233
136192 133 0.12900728175479
136704 133.5 0.129123099543492
137216 134 0.129226089859392
137728 134.5 0.129316911915179
138240 135 0.129396368399492
138752 135.5 0.129465347571994
139264 136 0.129524720702497
139776 136.5 0.12957527187149
140288 137 0.12961771343065
140800 137.5 0.129652746758973
141312 138 0.129681067467181
141824 138.5 0.129703291468629
142336 139 0.129719890397531
142848 139.5 0.129731219736107
143360 140 0.129737606813699
143872 140.5 0.129739390851705
144384 141 0.12973686929801
144896 141.5 0.129730223778101
145408 142 0.129719525551507
145920 142.5 0.129704819551782
146432 143 0.129686184614381
146944 143.5 0.129663697446478
147456 144 0.129637355831511
147968 144.5 0.129607073045128
148480 145 0.129572756547582
148992 145.5 0.129534363574252
149504 146 0.129491860781892
150016 146.5 0.129445158189967
150528 147 0.129394123886104
151040 147.5 0.129338658891797
151552 148 0.129278719177923
152064 148.5 0.129214257894233
152576 149 0.129145186839907
153088 149.5 0.129071422832538
153600 150 0.128992948165415
154112 150.5 0.128909791245476
154624 151 0.128821961585192
155136 151.5 0.128729440766627
155648 152 0.128632240529827
156160 152.5 0.128530436771464
156672 153 0.128424123834025
157184 153.5 0.128313359403022
157696 154 0.128198208739784
158208 154.5 0.128078791858892
158720 155 0.127955260412037
159232 155.5 0.127827738738718
159744 156 0.127696287500257
160256 156.5 0.127560953665698
160768 157 0.127421987609209
161280 157.5 0.12727963385001
161792 158 0.127134000098184
162304 158.5 0.126985097443716
162816 159 0.126832896191985
163328 159.5 0.126677378286221
163840 160 0.126518562618688
164352 160.5 0.126356513324704
164864 161 0.126191344813352
165376 161.5 0.126023207862332
165888 162 0.125852260357682
166400 162.5 0.125678660301068
166912 163 0.12550264091741
167424 163.5 0.125324530247067
167936 164 0.125144639128462
168448 164.5 0.124963175551527
168960 165 0.124780246293871
169472 165.5 0.124595930805936
169984 166 0.124410328668636
170496 166.5 0.12422369639268
171008 167 0.124036856922961
171520 167.5 0.123849834560997
172032 168 0.123662582495444
172544 168.5 0.123475151947524
173056 169 0.123287627186069
173568 169.5 0.12310001507791
174080 170 0.122912286470159
174592 170.5 0.122724461490968
175104 171 0.122536615555118
175616 171.5 0.122348800580693
176128 172 0.122160990120895
176640 172.5 0.121973116530359
177152 173 0.121785140378622
177664 173.5 0.121597060633824
178176 174 0.121408870154735
178688 174.5 0.121220531048043
179200 175 0.12103199416098
179712 175.5 0.120843214888634
180224 176 0.120654141748252
180736 176.5 0.120464717987482
181248 177 0.120274915496032
181760 177.5 0.120084749241755
182272 178 0.119894235749767
182784 178.5 0.119703353075341
183296 179 0.119512073877148
183808 179.5 0.119320435917
184320 180 0.119128550185595
184832 180.5 0.118936534310926
185344 181 0.118744467316226
185856 181.5 0.11855242503064
186368 182 0.118360535458466
186880 182.5 0.118168974794312
187392 183 0.117977921287211
187904 183.5 0.117787537216737
188416 184 0.117597990714239
188928 184.5 0.117409469707619
189440 185 0.117222168208932
189952 185.5 0.11703627433998
190464 186 0.116851976054502
190976 186.5 0.116669463271907
191488 187 0.116488915691982
192000 187.5 0.116310496595245
192512 188 0.116134361871423
193024 188.5 0.115960663927728
193536 189 0.115789540850691
194048 189.5 0.115621110816531
194560 190 0.115455481918035
195072 190.5 0.115292757162349
195584 191 0.115133074961815
196096 191.5 0.114978675925672
196608 192 0.114830526663031
197120 192.5 0.114688231143483
197632 193 0.114551263467009
198144 193.5 0.11441908199099
198656 194 0.11429133216366
199168 194.5 0.114167832427886
199680 195 0.114048407384592
200192 195.5 0.113932813303805
200704 196 0.113820752084837
201216 196.5 0.113711929587137
201728 197 0.113606077571033
202240 197.5 0.113502939347296
202752 198 0.113402274648009
203264 198.5 0.113303973689591
203776 199 0.113208062267574
204288 199.5 0.113114600687326
204800 200 0.113023663043517
205312 200.5 0.112935339522634
205824 201 0.112849741944026
206336 201.5 0.112766990625727
206848 202 0.112687197610125
207360 202.5 0.112610467388467
207872 203 0.112536903075677
208384 203.5 0.112466595627967
208896 204 0.112399605467605
209408 204.5 0.112335965425916
209920 205 0.112275705746978
210432 205.5 0.112218866748374
210944 206 0.11216547867932
211456 206.5 0.112115537105767
211968 207 0.112069013876664
212480 207.5 0.112025893539995
212992 208 0.111986184800458
213504 208.5 0.111949892391729
214016 209 0.111916995007275
214528 209.5 0.111887464435788
215040 210 0.111861319899481
215552 210.5 0.111838623968647
216064 211 0.111819411942977
216576 211.5 0.111803691939951
217088 212 0.111791466064653
217600 212.5 0.111782736705041
218112 213 0.111777495538143
218624 213.5 0.11177572328633
219136 214 0.111777403885021
219648 214.5 0.111782525724029
220160 215 0.11179106720773
220672 215.5 0.111802991968388
221184 216 0.111818262108103
221696 216.5 0.111836850936027
222208 217 0.111858724666501
222720 217.5 0.111883814113485
223232 218 0.111912020910431
223744 218.5 0.111943253381016
224256 219 0.111977440322499
224768 219.5 0.112014502788414
225280 220 0.112054329728379
225792 220.5 0.11209679797083
226304 221 0.112141808420222
226816 221.5 0.112189285824423
227328 222 0.112239145793484
227840 222.5 0.112291280631667
228352 223 0.112345583405575
228864 223.5 0.112401973027543
229376 224 0.112460387192526
229888 224.5 0.112520759283073
230400 225 0.112583013229762
230912 225.5 0.112647079688622
231424 226 0.112712909670751
231936 226.5 0.112780471110842
232448 227 0.112849737224047
232960 227.5 0.112920681274616
233472 228 0.11299328072722
233984 228.5 0.113067523430971
234496 229 0.113143408640261
235008 229.5 0.113220942435138
235520 230 0.113300132276186
236032 230.5 0.113380985251588
236544 231 0.113463510135281
237056 231.5 0.113547719263713
237568 232 0.113633626795713
238080 232.5 0.113721244672843
238592 233 0.113810580890145
239104 233.5 0.113901641710606
239616 234 0.113994433407575
240128 234.5 0.114088959059968
240640 235 0.114185213755947
241152 235.5 0.114283185861648
241664 236 0.114382863596377
242176 236.5 0.11448423644667
242688 237 0.114587286829238
243200 237.5 0.114691982412174
243712 238 0.114798280490728
244224 238.5 0.114906137224464
244736 239 0.1150154951934
245248 239.5 0.115126273333267
245760 240 0.115238377912825
246272 240.5 0.11535171739916
246784 241 0.115466215346455
247296 241.5 0.115581813594259
247808 242 0.115698465336676
248320 242.5 0.115816129424183
248832 243 0.115934773913663
249344 243.5 0.116054137535507
249856 244 0.116173137086478
250368 244.5 0.116291967410181
250880 245 0.116411080917073
251392 245.5 0.116530912806325
251904 246 0.116651867870969
252416 246.5 0.116774172276405
252928 247 0.116897804397748
253440 247.5 0.117022582659606
253952 248 0.117148246457945
254464 248.5 0.117274513564041
254976 249 0.117401115984458
255488 249.5 0.11752781613116
256000 250 0.117654409070592
256512 250.5 0.117780719289654
257024 251 0.11790659602234
257536 251.5 0.118031913076247
258048 252 0.118156577325812
258560 252.5 0.11828054135587
259072 253 0.118403811251319
259584 253.5 0.11852644453712
260096 254 0.118648543607213
260608 254.5 0.118770251617248
261120 255 0.118891746693037
261632 255.5 0.119013224510217
262144 256 0.119134870990583
262656 256.5 0.119256840101619
263168 257 0.119379246729039
263680 257.5 0.119502167934625
264192 258 0.119625640809908
264704 258.5 0.119749656701388
265216 259 0.119874161234958
265728 259.5 0.11999906431656
266240 260 0.120124254089394
266752 260.5 0.120249607468445
267264 261 0.12037499445199
267776 261.5 0.120500280500844
268288 262 0.120625330316906
268800 262.5 0.120750013143968
269312 263 0.120874210979131
269824 263.5 0.120997816226483
270336 264 0.121120706680985
270848 264.5 0.121242764011022
271360 265 0.121363892280968
271872 265.5 0.121484005680682
272384 266 0.121602470645802
272896 266.5 0.121719064199117
273408 267 0.121833828867982
273920 267.5 0.121946820569176
274432 268 0.122058088105071
274944 268.5 0.122167663804383
275456 269 0.122275556332811
275968 269.5 0.122381737453965
276480 270 0.122486135356509
276992 270.5 0.122588645623097
277504 271 0.12268914706702
278016 271.5 0.122787515554736
278528 272 0.122883630914039
279040 272.5 0.12297737880101
279552 273 0.123068653973201
280064 273.5 0.123157366383457
280576 274 0.12324344411595
281088 274.5 0.123326829110868
281600 275 0.123407470751935
282112 275.5 0.123485324995218
282624 276 0.123560358412607
283136 276.5 0.123632548854071
283648 277 0.123701878561841
284160 277.5 0.123768326567999
284672 278 0.123831869506993
285184 278.5 0.123892488698199
285696 279 0.12395017168262
286208 279.5 0.124004903840838
286720 280 0.124056661256298
287232 280.5 0.124105415615448
287744 281 0.12415114431448
288256 281.5 0.124193831000047
288768 282 0.124233456733471
289280 282.5 0.124269996262102
289792 283 0.124303425090993
290304 283.5 0.124333726523483
290816 284 0.124360889880398
291328 284.5 0.124384905688902
291840 285 0.12440576623123
292352 285.5 0.124423469384677
292864 286 0.12443801951779
293376 286.5 0.124449425902861
293888 287 0.124457702774266
294400 287.5 0.124462870490693
294912 288 0.124464954457175
295424 288.5 0.124463983031528
295936 289 0.124459989002702
296448 289.5 0.124453013854237
296960 290 0.124443107760178
297472 290.5 0.124430322867238
297984 291 0.124414708047628
298496 291.5 0.12439631330233
299008 292 0.124375198600495
299520 292.5 0.12435143436239
300032 293 0.124325091769492
300544 293.5 0.124296235236115
301056 294 0.124264925836761
301568 294.5 0.124231229129074
302080 295 0.124195217211231
302592 295.5 0.124156964664178
303104 296 0.124116543589771
303616 296.5 0.124074022149149
304128 297 0.124029464024266
304640 297.5 0.123982926911966
305152 298 0.123934463178149
305664 298.5 0.123884122511805
306176 299 0.123831951512653
306688 299.5 0.123777991327524
307200 300 0.123722286931516
307712 300.5 0.123664906702603
308224 301 0.123605926301938
308736 301.5 0.1235454056621
309248 302 0.12348338313294
309760 302.5 0.123419885475483
310272 303 0.123354935873187
310784 303.5 0.123288552000826
311296 304 0.123220747834693
311808 304.5 0.123151545910317
312320 305 0.123080983201245
312832 305.5 0.12300910275935
313344 306 0.122935947123753
313856 306.5 0.122861564219955
314368 307 0.122786011870203
314880 307.5 0.122709348527497
315392 308 0.122631647765668
315904 308.5 0.122553007304071
316416 309 0.122473500742868
316928 309.5 0.122393184526599
317440 310 0.122312097420217
317952 310.5 0.122230264178139
318464 311 0.122147709177347
318976 311.5 0.122064466422436
319488 312 0.12198057650859
320000 312.5 0.121896078327466
320512 313 0.121811007320629
321024 313.5 0.121725400533367
321536 314 0.121639299819098
322048 314.5 0.121552748720527
322560 315 0.121465787867433
323072 315.5 0.12137845523941
323584 316 0.121290789998925
324096 316.5 0.121202833355237
324608 317 0.121114625172488
325120 317.5 0.121026202458696
325632 318 0.120937602993655
326144 318.5 0.120848868516805
326656 319 0.120760042050084
327168 319.5 0.120671163452947
327680 320 0.120582270762225
328192 320.5 0.120493406292241
328704 321 0.120404618960673
329216 321.5 0.120315959026557
329728 322 0.120227471521279
330240 322.5 0.120139196607755
330752 323 0.120051176769976
331264 323.5 0.119963462208574
331776 324 0.119876107136031
332288 324.5 0.119789160267497
332800 325 0.119702660702823
333312 325.5 0.119616644375974
333824 326 0.11953115230112
334336 326.5 0.119446229355821
334848 327 0.119361915472771
335360 327.5 0.119278241671035
335872 328 0.119195235711528
336384 328.5 0.119112928064424
336896 329 0.119031349743827
337408 329.5 0.118950526637279
337920 330 0.118870479587595
338432 330.5 0.11879122990168
338944 331 0.118712801949153
339456 331.5 0.118635219287037
339968 332 0.118558500303994
340480 332.5 0.118482659661991
340992 333 0.118407712981079
341504 333.5 0.11833367769454
342016 334 0.118260569329497
342528 334.5 0.118188399382449
343040 335 0.118117178521076
343552 335.5 0.118046920472947
344064 336 0.117977641085552
344576 336.5 0.117909355168351
345088 337 0.117842077249889
345600 337.5 0.117775825068426
346112 338 0.117710619030634
346624 338.5 0.117646477508119
347136 339 0.117583415723169
347648 339.5 0.117521450534135
348160 340 0.117460603154195
348672 340.5 0.11740089488823
349184 341 0.117342342628122
349696 341.5 0.11728496102733
350208 342 0.117228767196281
350720 342.5 0.117173780654587
351232 343 0.117120019760252
351744 343.5 0.117067500338905
352256 344 0.117016244982489
352768 344.5 0.116966286854495
353280 345 0.116917653184885
353792 345.5 0.116870365221101
354304 346 0.116824439107514
354816 346.5 0.116779887085496
355328 347 0.116736719146454
355840 347.5 0.116694943972566
356352 348 0.116654569384824
356864 348.5 0.116615603540706
357376 349 0.116578055708464
357888 349.5 0.116541934709697
358400 350 0.116507247199491
358912 350.5 0.116473999179328
359424 351 0.116442198803077
359936 351.5 0.11641185612051
360448 352 0.116382980557432
360960 352.5 0.116355580130173
361472 353 0.116329662757481
361984 353.5 0.116305237426399
362496 354 0.116282314672009
363008 354.5 0.116260906250353
363520 355 0.116241023384065
364032 355.5 0.116222675323128
364544 356 0.11620587125263
365056 356.5 0.116190623368508
365568 357 0.116176945580993
366080 357.5 0.116164849951872
366592 358 0.116154348085897
367104 358.5 0.116145452172454
367616 359 0.116138174347806
368128 359.5 0.116132524472025
368640 360 0.116128508680551
369152 360.5 0.116126129065048
369664 361 0.116125382827562
370176 361.5 0.116126262605695
370688 362 0.116128760017858
371200 362.5 0.116132868731708
371712 363 0.116138582615505
372224 363.5 0.116145892025492
372736 364 0.116154784282281
373248 364.5 0.116165247829008
373760 365 0.116177273984376
374272 365.5 0.116190854559754
374784 366 0.116205979176051
375296 366.5 0.116222635026399
375808 367 0.116240808170859
376320 367.5 0.11626048464436
376832 368 0.116281650398103
377344 368.5 0.116304289618079
377856 369 0.116328382964906
378368 369.5 0.116353907639905
378880 370 0.116380838646477
379392 370.5 0.116409149268411
379904 371 0.11643881070055
380416 371.5 0.116469792109692
380928 372 0.116502060894126
381440 372.5 0.116535582476137
381952 373 0.116570320617746
382464 373.5 0.116606239224063
382976 374 0.116643304182339
383488 374.5 0.116681483330795
384000 375 0.116720745119897
384512 375.5 0.11676105776528
385024 376 0.116802389445327
385536 376.5 0.11684470919209
386048 377 0.116887988025266
386560 377.5 0.116932199125305
387072 378 0.116977316020458
387584 378.5 0.117023310345898
388096 379 0.117070151963982
388608 379.5 0.117117811054351
389120 380 0.117166258788383
389632 380.5 0.117215465532451
390144 381 0.117265399509345
390656 381.5 0.117316027827743
391168 382 0.11736731780208
391680 382.5 0.117419236329845
392192 383 0.117471748645054
392704 383.5 0.117524818886089
