# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
127488 62.25 1.10598662993215e-10
128000 62.5 1.10598662993215e-10
128512 62.75 1.10598662993215e-10
129024 63 1.10598662993215e-10
129536 63.25 1.10598662993215e-10
130048 63.5 1.10598662993215e-10
130560 63.75 1.10598662993215e-10
131072 64 1.10598662993215e-10
131584 64.25 1.10598662993215e-10
132096 64.5 1.10598662993215e-10
132608 64.75 1.10598662993215e-10
133120 65 1.10598662993215e-10
133632 65.25 1.10598662993215e-10
134144 65.5 1.10598662993215e-10
134656 65.75 1.10598662993215e-10
135168 66 1.10598662993215e-10
135680 66.25 1.10598662993215e-10
136192 66.5 1.10598662993215e-10
136704 66.75 1.10598662993215e-10
137216 67 1.10598662993215e-10
137728 67.25 1.10598662993215e-10
138240 67.5 1.10598662993215e-10
138752 67.75 1.10598662993215e-10
139264 68 1.10598662993215e-10
139776 68.25 1.10598662993215e-10
140288 68.5 1.10598662993215e-10
140800 68.75 1.10598662993215e-10
141312 69 1.10598662993215e-10
141824 69.25 1.10598662993215e-10
142336 69.5 1.10598662993215e-10
142848 69.75 1.10598662993215e-10
143360 70 1.10598662993215e-10
143872 70.25 1.10598662993215e-10
144384 70.5 1.10598662993215e-10
144896 70.75 1.10598662993215e-10
145408 71 1.10598662993215e-10
145920 71.25 1.10598662993215e-10
146432 71.5 1.10598662993215e-10
146944 71.75 1.10598662993215e-10
147456 72 1.10598662993215e-10
147968 72.25 1.10598662993215e-10
148480 72.5 1.10598662993215e-10
148992 72.75 1.10598662993215e-10
149504 73 1.10598662993215e-10
150016 73.25 1.10598662993215e-10
150528 73.5 1.10598662993215e-10
151040 73.75 1.10598662993215e-10
151552 74 1.10598662993215e-10
152064 74.25 1.10598662993215e-10
152576 74.5 1.10598662993215e-10
153088 74.75 1.10598662993215e-10
153600 75 1.10598662993215e-10
154112 75.25 1.10598662993215e-10
154624 75.5 1.10598662993215e-10
155136 75.75 1.10598662993215e-10
155648 76 1.10598662993215e-10
156160 76.25 1.10598662993215e-10
156672 76.5 1.10598662993215e-10
157184 76.75 1.10598662993215e-10
157696 77 1.10598662993215e-10
158208 77.25 1.10598662993215e-10
158720 77.5 1.10598662993215e-10
159232 77.75 1.10598662993215e-10
159744 78 1.10598662993215e-10
160256 78.25 1.10598662993215e-10
