# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
462336 225.75 204.418135933964 172.993854954553 3978.41457295418 3975.67464494705 3905.96468853951 0 72.4531493186951 2709 116569.214885081 116569.214885081 463441272 463441272 83976.7872917695 83976.7872917695 333864384 333864384 1035.2811547731 2079512.8276214 19362.7914155222 2060150.03620588 75010 150660684 1403052 149257632 0 0 0 0 3972.40236544609 1731253111.49139 577283
462848 226 204.547159279258 173.09308428329 3980.3067779541 3977.56684994698 3907.78205275536 0 72.587158203125 2712 116642.790304375 116642.790304375 463954496 463954496 84029.7912288905 84029.7912288905 334234112 334234112 1035.64680588819 2081677.44981143 19364.6097403522 2062312.84007108 75192 151305117 1404621 149900496 0 0 0 0 3974.28915882111 1731253113.3836 577922
463360 226.25 204.676421599366 173.19202685704 3982.19195103645 3979.45202302933 3909.59157896042 0 72.603630065918 2715 116716.501998792 116716.501998792 464467720 464467720 84082.8933389893 84082.8933389893 334603840 334603840 1036.00020012608 2084099.64953811 19365.107365119 2064734.54217299 75218 151306629 1406133 149900496 0 0 0 0 3976.16961336136 1731253115.26877 578561
463872 226.5 204.806575732344 173.29004114932 3984.05740809441 3981.31748008728 3911.41283869743 0 72.680766582489 2718 116790.722248507 116790.722248507 464980944 464980944 84136.3618137423 84136.3618137423 334973568 334973568 1036.22336294194 2082972.4128877 19375.1303322978 2063597.2825554 75316 151325779 1407715 149918064 0 0 0 0 3978.02987885475 1731253117.13423 579200
464384 226.75 204.93682584875 173.38792856492 3985.91863012314 3983.17870211601 3913.22439885139 0 72.6975283622742 2721 116864.997232666 116864.997232666 465494168 465494168 84189.8697193408 84189.8697193408 335343296 335343296 1036.36834287955 2081693.68260203 19383.3537455358 2062310.32885649 75342 151327342 1409278 149918064 0 0 0 0 3979.8863735199 1731253118.99545 579839
464896 227 205.063478143758 173.489464631606 3987.84740495682 3985.10747694969 3915.07112240791 0 72.8377792835236 2724 116937.220563169 116937.220563169 466007392 466007392 84241.8996079282 84241.8996079282 335713024 335713024 1036.62893126348 2083642.33083904 19383.2241850506 2064259.10665399 75524 151971773 1410845 150560928 0 0 0 0 3981.80976510048 1731253120.92422 580478
465408 227.25 205.191820790219 173.589222517993 3989.74095392227 3987.00102591515 3916.88989210129 0 72.854407787323 2727 117010.40781471 117010.40781471 466520616 466520616 84294.6239079179 84294.6239079179 336082752 336082752 1036.9924351362 2086079.05226477 19384.0139690764 2066695.03829569 75550 151973291 1412363 150560928 0 0 0 0 3983.69860315323 1731253122.81777 581117
465920 227.5 205.321272927635 173.687820957853 3991.61058092117 3988.87065291405 3918.71638703346 0 72.9274635314941 2730 117084.227752236 117084.227752236 467033840 467033840 84347.8039966542 84347.8039966542 336452480 336452480 1037.2293864237 2084984.93356167 19394.2469845783 2065590.6865771 75648 151992439 1413943 150578496 0 0 0 0 3985.56321454048 1731253124.6874 581756
466432 227.75 205.450487828401 173.786629065667 3993.48246002197 3990.74253201485 3920.5397503376 0 72.9461076259613 2733 117157.912405826 117157.912405826 467547064 467547064 84400.8866264658 84400.8866264658 336822208 336822208 1037.38948453422 2083741.93470036 19402.7203832164 2064339.21431715 75674 151994002 1415506 150578496 0 0 0 0 3987.43026471138 1731253126.55928 582395
466944 228 205.577896224126 173.887262239995 3995.38707089424 3992.64714288712 3922.36798715591 0 73.0831866264343 2736 117230.566901923 117230.566901923 468060288 468060288 84453.2271279484 84453.2271279484 337191936 337191936 1037.72871584565 2085843.86714313 19404.1328302275 2066439.7343129 75856 152638441 1417081 151221360 0 0 0 0 3989.3296148777 1731253128.46389 583034
467456 228.25 205.705820484975 173.987317768101 3997.27930498123 3994.53937697411 3924.18266558647 0 73.100843667984 2739 117303.515569534 117303.515569534 468573512 468573512 84505.7795514099 84505.7795514099 337561664 337561664 1038.05045797275 2088190.89719933 19404.1341947339 2068786.7630046 75882 152639956 1418596 151221360 0 0 0 0 3991.21707057953 1731253130.35612 583673
467968 228.5 205.834974788216 174.086084554787 3999.14530491829 3996.40537691116 3926.00423049927 0 73.1734154224396 2742 117377.165667453 117377.165667453 469086736 469086736 84558.8372872195 84558.8372872195 337931392 337931392 1038.26749337785 2087062.08122506 19414.0298222187 2067648.05140284 75980 152659108 1420180 151238928 0 0 0 0 3993.0779094696 1731253132.22212 584312
468480 228.75 205.964073643812 174.184874214369 4001.01004099846 3998.27011299133 3927.82202720642 0 73.1913995742798 2745 117450.784146413 117450.784146413 469599960 469599960 84611.8722446437 84611.8722446437 338301120 338301120 1038.4487303612 2085866.85292186 19422.9071995208 2066443.94572234 76006 152660672 1421744 151238928 0 0 0 0 3994.93791913986 1731253134.08686 584951
468992 229 206.089033126258 174.287889858836 4002.95278501511 4000.21285700798 3929.68777012825 0 73.3326363563538 2748 117522.042152434 117522.042152434 470113184 470113184 84663.2067107834 84663.2067107834 338670848 338670848 1038.77683117285 2087941.70363901 19424.1685775636 2068517.53506145 76188 153305112 1423320 151881792 0 0 0 0 3996.87548589706 1731253136.0296 585590
469504 229.25 206.215022176727 174.389783681618 4004.87319302559 4002.13326501846 3931.52698707581 0 73.3497247695923 2751 117593.887268476 117593.887268476 470626408 470626408 84714.9641326189 84714.9641326189 339040576 339040576 1039.04488327832 2090175.0815163 19423.2268943177 2070751.85462199 76214 153306633 1424841 151881792 0 0 0 0 3998.79068779945 1731253137.95001 586229
470016 229.5 206.317304770375 174.515925003985 4007.25133299828 4004.51140499115 3933.85241699219 0 73.4389388561249 2754 117652.213803856 117652.213803856 471139632 471139632 84756.9827312678 84756.9827312678 339410304 339410304 1039.14341178654 2088813.35505395 19430.859168025 2069382.49588592 76312 153325779 1426419 151899360 0 0 0 0 4001.1631538868 1731253140.32815 586868
470528 229.75 206.434192167723 174.626894712674 4009.34363698959 4006.60370898247 3935.88990736008 0 73.4572515487671 2757 117718.86871232 117718.86871232 471652856 471652856 84805.0011130978 84805.0011130978 339780032 339780032 1039.21203708798 2087397.3829967 19437.583458339 2067959.79953836 76338 153327344 1427984 151899360 0 0 0 0 4003.25094747543 1731253142.42045 587507
471040 230 206.552282644887 174.736546238815 4011.41022396088 4008.67029595375 3937.87967538834 0 73.6014149188995 2760 117786.20967571 117786.20967571 472166080 472166080 84853.5137308096 84853.5137308096 340149760 340149760 1039.5407280906 2089468.28199479 19438.8458640411 2070029.43613075 76520 153971781 1429557 152542224 0 0 0 0 4005.31206655502 1731253144.48704 588146
471552 230.25 206.672213260043 174.844189188548 4013.43873906136 4010.69881105423 3939.81661105156 0 73.6255140304565 2763 117854.599975747 117854.599975747 472679304 472679304 84902.7822935657 84902.7822935657 340519488 340519488 1039.66024983433 2091396.76021742 19435.1350426819 2071961.62517474 76546 153973299 1431075 152542224 0 0 0 0 4007.33565306664 1731253146.51556 588785
472064 230.5 206.771315694597 174.973077207979 4015.86910510063 4013.12917709351 3942.20305109024 0 73.7083714008331 2766 117911.113028938 117911.113028938 473192528 473192528 84943.4944545911 84943.4944545911 340889216 340889216 1039.88195145072 2090288.47911793 19445.0485945391 2070843.43052339 76644 153992449 1432657 152559792 0 0 0 0 4009.76090598106 1731253148.94592 589424
472576 230.75 206.816631093105 175.156688644798 4019.34147310257 4016.60154509544 3945.61883544922 0 73.7261505126953 2769 117936.954084586 117936.954084586 473705752 473705752 84962.1104231017 84962.1104231017 341258944 341258944 1039.92481061908 2088826.4297337 19451.3116411106 2069375.11809259 76670 153994015 1434223 152559792 0 0 0 0 4013.22576141357 1731253152.41829 590063
473088 231 206.900004796953 175.300772866299 4022.07284593582 4019.3329179287 3948.25181531906 0 73.9077994823456 2772 117984.497846568 117984.497846568 474218976 474218976 84996.3610817422 84996.3610817422 341628672 341628672 1039.94755097025 2090277.27885672 19446.9108329418 2070830.36802378 76852 154638456 1435800 153202656 0 0 0 0 4015.9405913353 1731253155.14966 590702
473600 231.25 206.994941698293 175.432631753276 4024.5773370266 4021.83740901947 3950.65637350082 0 73.9249155521393 2775 118038.635509072 118038.635509072 474732200 474732200 85035.3620046962 85035.3620046962 341998400 341998400 1039.94856578403 2091960.77302328 19441.0344705391 2072519.73855274 76878 154639975 1437319 153202656 0 0 0 0 4018.43953537941 1731253157.65416 591341
474112 231.5 207.111901364228 175.541819330395 4026.65161299706 4023.91168498993 3952.68633174896 0 73.9963545799255 2778 118105.331628616 118105.331628616 475245424 475245424 85083.4100751038 85083.4100751038 342368128 342368128 1040.16369169128 2090845.58850357 19450.8284930925 2071394.76001047 76976 154659125 1438901 153220224 0 0 0 0 4020.50679945946 1731253159.72843 591980
474624 231.75 207.233989112586 175.645695430729 4028.62392306328 4025.88399505615 3954.61350774765 0 74.01482629776 2781 118174.952031464 118174.952031464 475758648 475758648 85133.5648073535 85133.5648073535 342737856 342737856 1040.36708443847 2089712.16200353 19459.9772728998 2070252.18473063 77002 154660685 1440461 153220224 0 0 0 0 4022.47567820549 1731253161.70074 592619
