# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
196096 191.5 282.190310209636 285.734252570716 2450.85673594475 2443.03214907646 2396.56031036377 0 54.2997934818268 1149 37520.0236454732 37520.0236454732 91662624 91662624 18421.383450485 18421.383450485 45004032 45004032 586.521113668974 786845.294931662 10817.1945706452 776028.100361017 31850 42723102 587550 42135552 0 0 0 0 2446.26354074478 1735407109.41569 245003
196608 192 282.257220336674 285.699751301271 2456.65476799011 2448.83018112183 2402.18046736717 0 54.6320490837097 1152 37528.9200159641 37528.9200159641 91901952 91901952 18425.7513435781 18425.7513435781 45121536 45121536 586.515102252553 786398.090661488 10810.3453053238 775587.745356165 32032 43149734 589094 42560640 0 0 0 0 2451.99272680283 1735407115.21373 245642
197120 192.5 281.753262215083 285.627144831052 2467.42343783379 2459.5988509655 2412.78349781036 0 54.6418769359589 1155 37461.9137441175 37461.9137441175 92141280 92141280 18392.8529574006 18392.8529574006 45239040 45239040 586.640468240989 789734.194098724 10805.0814065118 778929.112692213 32058 43151245 590605 42560640 0 0 0 0 2462.81252193451 1735407125.98239 246281
197632 193 282.03629936903 285.603205695302 2471.33726787567 2463.51268100739 2416.57717585564 0 54.8392736911774 1158 37499.5463641062 37499.5463641062 92380608 92380608 18411.3296228103 18411.3296228103 45356544 45356544 586.485500941998 788124.424338259 10809.7334785966 777314.690859662 32156 43166613 592149 42574464 0 0 0 0 2466.70900797844 1735407129.89622 246920
198144 193.5 282.367069800608 285.583812353157 2474.82614088058 2467.0015540123 2419.9655559063 0 54.8624129295349 1161 37543.5256006889 37543.5256006889 92619936 92619936 18432.9223165837 18432.9223165837 45474048 45474048 586.541321334444 786865.561499775 10817.25614625 776048.305353525 32182 43168122 593658 42574464 0 0 0 0 2470.16264986992 1735407133.3851 247559
198656 194 282.681107831322 285.565852368662 2478.45308184624 2470.62849497795 2423.41494369507 0 55.1515817642212 1164 37585.2800972526 37585.2800972526 92859264 92859264 18453.4227192287 18453.4227192287 45591552 45591552 586.538736309241 786427.474728827 10810.5401088566 775616.93461997 32364 43594753 595201 42999552 0 0 0 0 2473.79813504219 1735407137.01204 248198
199168 194.5 282.920728596523 285.546706770115 2482.72277998924 2474.89819312096 2427.55448102951 0 55.1701710224152 1167 37617.1400741937 37617.1400741937 93098592 93098592 18469.065162781 18469.065162781 45709056 45709056 587.040032240959 790237.270716308 10812.2601430105 779425.010573298 32390 43596262 596710 42999552 0 0 0 0 2478.05490374565 1735407141.28174 248837
199680 195 282.694827882163 285.50534480421 2491.0677549839 2483.24316811562 2435.78949117661 0 55.3842151165009 1170 37587.1043152123 37587.1043152123 93337920 93337920 18454.3183641476 18454.3183641476 45826560 45826560 586.993833835224 788787.110825366 10818.8274885916 777968.283336774 32488 43611630 598254 43013376 0 0 0 0 2486.39338564873 1735407149.62671 249476
200192 195.5 283.013483894634 285.489937554532 2494.63189482689 2486.8073079586 2439.22765827179 0 55.4061114788055 1173 37629.4728186305 37629.4728186305 93577248 93577248 18475.1202286417 18475.1202286417 45944064 45944064 586.778232521421 787176.698240882 10821.3385343511 776355.359706531 32514 43613140 599764 43013376 0 0 0 0 2489.93840098381 1735407153.19085 250115
200704 196 283.290698566835 285.475060121034 2498.55232191086 2490.72773504257 2442.98994278908 0 55.6788241863251 1176 37666.3312814463 37666.3312814463 93816576 93816576 18493.216802443 18493.216802443 46061568 46061568 586.979904667461 787016.803297008 10818.5072255909 776198.296071417 32696 44039774 601310 43438464 0 0 0 0 2493.85376834869 1735407157.11128 250754
