# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
57856 42.375 -2.4095696258868e-06 -2.40956910813143e-06 -2.40957008186083e-06
58368 42.75 -2.37851876913054e-06 -2.37851856383412e-06 -2.3785193636876e-06
58880 43.125 -2.35068085544457e-06 -2.35068099428221e-06 -2.35068135619075e-06
59392 43.5 -2.31908784572762e-06 -2.31908792745055e-06 -2.31908791659922e-06
59904 43.875 -2.27613795141745e-06 -2.27613789361509e-06 -2.27613767524797e-06
60416 44.25 -2.24100422446745e-06 -2.24100427951902e-06 -2.24100390520848e-06
60928 44.625 -2.19724477559234e-06 -2.19724417274072e-06 -2.19724455768191e-06
61440 45 -2.1430839685594e-06 -2.14308415263145e-06 -2.14308396980636e-06
61952 45.375 -2.07383741603305e-06 -2.07383849506112e-06 -2.07383832422737e-06
62464 45.75 -1.99007551920234e-06 -1.99007625994518e-06 -1.99007620917208e-06
62976 46.125 -1.93734667696963e-06 -1.93734777102539e-06 -1.9373371120774e-06
63488 46.5 -1.8761197887303e-06 -1.87612102607389e-06 -1.87610537769797e-06
64000 46.875 -1.83131783527454e-06 -1.8313180179047e-06 -1.83131794051391e-06
64512 47.25 -1.81208211127947e-06 -1.81208206377049e-06 -1.81208205808416e-06
65024 47.625 -1.78755211710355e-06 -1.7875519862537e-06 -1.78755205323487e-06
65536 48 -1.76116637465765e-06 -1.76116633157683e-06 -1.7611663728277e-06
66048 48.375 -1.73696579786863e-06 -1.73696589206097e-06 -1.73696578409431e-06
66560 48.75 -1.71831676537585e-06 -1.71831666773943e-06 -1.71831643677996e-06
67072 49.125 -1.6996907389109e-06 -1.69969068911899e-06 -1.69969033961314e-06
67584 49.5 -1.68253917910758e-06 -1.68253891970863e-06 -1.68253873511943e-06
68096 49.875 -1.66356224513013e-06 -1.66356195816837e-06 -1.66356212365824e-06
68608 50.25 -1.6431533131334e-06 -1.64315332046079e-06 -1.64315383955571e-06
69120 50.625 -1.62272762395897e-06 -1.62272814310624e-06 -1.62272879576288e-06
69632 51 -1.6022734330276e-06 -1.60227436314519e-06 -1.60227480381145e-06
70144 51.375 -1.57914952866687e-06 -1.57915046154119e-06 -1.57915040516325e-06
70656 51.75 -1.55108440173783e-06 -1.55108514527438e-06 -1.55108523863054e-06
71168 52.125 -1.52729628698489e-06 -1.52729689512788e-06 -1.52729656153891e-06
71680 52.5 -1.50615912719919e-06 -1.50615943484152e-06 -1.50615943340603e-06
72192 52.875 -1.48107657335075e-06 -1.48107660823317e-06 -1.48107630352007e-06
72704 53.25 -1.4492916916656e-06 -1.44929157444314e-06 -1.44929108905282e-06
73216 53.625 -1.41151322323101e-06 -1.41151328153056e-06 -1.41151278223836e-06
73728 54 -1.36965705037389e-06 -1.36965759250851e-06 -1.36965721724094e-06
74240 54.375 -1.32581371337525e-06 -1.32581475405925e-06 -1.32581457266242e-06
74752 54.75 -1.28151588821477e-06 -1.28151702308998e-06 -1.28151705173899e-06
75264 55.125 -1.23763970954112e-06 -1.23764025779666e-06 -1.23764051302959e-06
75776 55.5 -1.19478014507741e-06 -1.19477950476089e-06 -1.19478005386454e-06
76288 55.875 -1.1537074748687e-06 -1.15370548296913e-06 -1.15370643839584e-06
76800 56.25 -1.11555176441974e-06 -1.11554883434518e-06 -1.1155502649449e-06
77312 56.625 -1.08152214208001e-06 -1.08151908459251e-06 -1.08152087517216e-06
77824 57 -1.05217726686072e-06 -1.05217489650993e-06 -1.05217665302915e-06
78336 57.375 -1.02652594789119e-06 -1.02652470397797e-06 -1.02652581893814e-06
78848 57.75 -1.00145492163117e-06 -1.00145471205277e-06 -1.00145462888334e-06
79360 58.125 -9.71940451621195e-07 -9.71940783506044e-07 -9.71939349772188e-07
79872 58.5 -9.32108327709495e-07 -9.32108618695328e-07 -9.32106297834188e-07
80384 58.875 -8.76692254024039e-07 -8.76692124326517e-07 -8.7668986525482e-07
80896 59.25 -8.02217784803069e-07 -8.02217159859613e-07 -8.02215930574491e-07
81408 59.625 -7.07512267429826e-07 -7.07511252030438e-07 -7.07511500922957e-07
81920 60 -5.93668374565602e-07 -5.93667017549953e-07 -5.93668425298435e-07
82432 60.375 -4.63885407109795e-07 -4.63883563180169e-07 -4.63885272361151e-07
82944 60.75 -3.23416877229239e-07 -3.2341431378253e-07 -3.23415477208293e-07
