# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
89088 65.25 -0.270544388175746 -0.270838514025713 -0.271032642645372
89600 65.625 -0.270031057569858 -0.270285505824699 -0.270462198858087
90112 66 -0.26929369519531 -0.269509930244965 -0.269666578717256
90624 66.375 -0.268336481225634 -0.268515613336407 -0.268646298257634
91136 66.75 -0.267153049080629 -0.267296992450722 -0.267394674254521
91648 67.125 -0.265714590477396 -0.265828836619628 -0.265877278868366
92160 67.5 -0.264006702738438 -0.264092791454157 -0.264076298398712
92672 67.875 -0.263458212477058 -0.262331981839085 -0.262563760883964
93184 68.25 -0.264455848651061 -0.263332444373905 -0.263568945753625
93696 68.625 -0.265393264560598 -0.264282329678066 -0.264520231002089
94208 69 -0.266261699281596 -0.265163642139463 -0.265400329334473
94720 69.375 -0.26764847728583 -0.265956096842884 -0.26635403189455
95232 69.75 -0.269369317002691 -0.267401722741263 -0.268099692785964
95744 70.125 -0.271076726864896 -0.26915278197301 -0.269832487219387
96256 70.5 -0.272774336043025 -0.270895097471422 -0.271555956586419
96768 70.875 -0.274463194426825 -0.272629546024928 -0.273271189890521
97280 71.25 -0.27614062430436 -0.274353627545462 -0.27497582931311
97792 71.625 -0.277797904742895 -0.276062051164829 -0.276664031651242
98304 72 -0.279417041732881 -0.277742279507742 -0.278319892667384
98816 72.375 -0.280981960314559 -0.279373613246843 -0.279925431329486
99328 72.75 -0.282468435550387 -0.280929839265092 -0.281455876957228
99840 73.125 -0.283864529519769 -0.282396836068485 -0.282896564467972
100352 73.5 -0.285165040720023 -0.283767605501137 -0.284241759565106
100864 73.875 -0.2863657428015 -0.285037807711808 -0.285487598767195
101376 74.25 -0.287458067936663 -0.286200828517272 -0.286625433756974
101888 74.625 -0.28844374128775 -0.287253607374967 -0.287654118391096
102400 75 -0.289319917434922 -0.28819331665079 -0.288570213792719
102912 75.375 -0.290081792490261 -0.289015852561628 -0.289369436885673
103424 75.75 -0.290724083311577 -0.289718295904619 -0.290047664899622
103936 76.125 -0.291240815366269 -0.290305217027622 -0.290598927562076
104448 76.5 -0.291625921236174 -0.290696937611907 -0.291016756935972
104960 76.875 -0.2918678012795 -0.290940697541988 -0.291272759951688
105472 77.25 -0.29194007289233 -0.29102872750603 -0.291350500548634
105984 77.625 -0.291807853776162 -0.290954704000459 -0.291271270680879
106496 78 -0.291477802038183 -0.290714577221212 -0.290972111359407
107008 78.375 -0.290999119048019 -0.290302187239511 -0.290482713490743
107520 78.75 -0.290339750949064 -0.28969570985451 -0.289788788697047
108032 79.125 -0.289470621489817 -0.288873069828475 -0.288913459331505
108544 79.5 -0.288398928886858 -0.287801611390991 -0.287839292171985
109056 79.875 -0.287070073902227 -0.286502046433051 -0.286550593248868
109568 80.25 -0.285429288409845 -0.284978439615292 -0.285042184240896
110080 80.625 -0.283420758230699 -0.283098868463819 -0.283194830986797
110592 81 -0.280978703511516 -0.280788892495895 -0.280916047576123
111104 81.375 -0.278170948701169 -0.278099771773615 -0.278257168795828
111616 81.75 -0.275050386736354 -0.275065427858678 -0.275250570811965
112128 82.125 -0.271625206823587 -0.271690807868312 -0.271902476429339
112640 82.5 -0.267887867439417 -0.267884652106079 -0.268213585971145
113152 82.875 -0.263842681937416 -0.263524991095883 -0.264196798742229
113664 83.25 -0.259528889563723 -0.258746177935771 -0.259876662699781
114176 83.625 -0.254957077898068 -0.253695959230618 -0.255284470145414
114688 84 -0.250147382521722 -0.248387696572562 -0.250438340543619
115200 84.375 -0.245137531435152 -0.242966775357414 -0.245380530118073
115712 84.75 -0.239996497533146 -0.237538078862252 -0.240179413204842
116224 85.125 -0.234771045156256 -0.232130204020655 -0.234902080867462
116736 85.5 -0.22950423091101 -0.226762337851663 -0.229592627140167
117248 85.875 -0.224227723451533 -0.221447771333637 -0.224281644580589
117760 86.25 -0.218961620735705 -0.216740054210833 -0.218990090928169
118272 86.625 -0.213724275705872 -0.212794124467651 -0.213738338473241
118784 87 -0.208528024769602 -0.208769646355213 -0.208597232034477
119296 87.375 -0.206453627109601 -0.208559152323188 -0.203564655129748
119808 87.75 -0.209845041577262 -0.208873934042379 -0.199504852860653
120320 88.125 -0.211320759710603 -0.209274879845477 -0.200343538053207
120832 88.5 -0.212348213215989 -0.206716376396759 -0.200945181363054
121344 88.875 -0.212712436119368 -0.210092997707067 -0.201280793990085
121856 89.25 -0.215386115674593 -0.21326858519837 -0.201333067257475
122368 89.625 -0.218774543446697 -0.216210034863514 -0.203229947740657
122880 90 -0.221921237198148 -0.218949447402458 -0.206580316227625
123392 90.375 -0.224582789158007 -0.222271290904308 -0.209781522037152
123904 90.75 -0.226467264537331 -0.224547011607834 -0.212822580793376
124416 91.125 -0.227324132894324 -0.223904980827122 -0.215711301647127
124928 91.5 -0.226992460056894 -0.223138936619368 -0.218449734495255
125440 91.875 -0.224201451377408 -0.222279033057173 -0.221045461291317
125952 92.25 -0.218923509904312 -0.221366785143584 -0.223515440706543
126464 92.625 -0.212663826408413 -0.220460603264282 -0.225936116170915
126976 93 -0.209956598331107 -0.21959141468118 -0.228284188100191
127488 93.375 -0.211846289060979 -0.221075661173244 -0.230396602771692
128000 93.75 -0.213215628613399 -0.224352249789442 -0.232231099231748
128512 94.125 -0.210623122485844 -0.227418050314361 -0.233790946564311
129024 94.5 -0.210448101586432 -0.23021545270491 -0.235110615160088
129536 94.875 -0.213763109494376 -0.232700515181285 -0.236135171217419
130048 95.25 -0.216950342166338 -0.23486066933873 -0.2366987506198
130560 95.625 -0.219996757543585 -0.2366538654085 -0.234805713593897
131072 96 -0.222903050076579 -0.237563419482549 -0.232042998754906
131584 96.375 -0.225664217503321 -0.237219140253696 -0.231625129999403
132096 96.75 -0.225948118066186 -0.236785642684612 -0.231586378150999
132608 97.125 -0.229484238704793 -0.239242192839875 -0.233402551345635
133120 97.5 -0.232960342401021 -0.241453376276594 -0.236496046031858
133632 97.875 -0.236314639710965 -0.242786698546842 -0.239429824826131
134144 98.25 -0.239529712791359 -0.2364425671836 -0.242221961080943
134656 98.625 -0.242584085149887 -0.230003193997239 -0.245023068889585
135168 99 -0.245483207056242 -0.223656731119629 -0.247748285377395
135680 99.375 -0.246462677406161 -0.214861690292943 -0.250378654200388
136192 99.75 -0.241669643643116 -0.209114900268642 -0.252937099765471
136704 100.125 -0.236485885205086 -0.203841547342107 -0.255648482678285
137216 100.5 -0.231008789663101 -0.202778955933719 -0.258123335131038
137728 100.875 -0.225397678698802 -0.206234525903902 -0.260368091013277
138240 101.25 -0.203096164763991 -0.209575715505727 -0.261769217244205
138752 101.625 -0.204913528064876 -0.212664536153145 -0.255983936072774
139264 102 -0.206529485704754 -0.215449623757984 -0.249230212841656
139776 102.375 -0.207908089642482 -0.218117793452812 -0.242390917472151
140288 102.75 -0.20913243776769 -0.220662136829914 -0.235589966714267
140800 103.125 -0.21175835767206 -0.223087279699775 -0.228955111932548
141312 103.5 -0.214261668218168 -0.222019186483918 -0.201993177614318
141824 103.875 -0.21620834200721 -0.218174070352569 -0.198197449807468
142336 104.25 -0.21292717114263 -0.214030050616655 -0.19418063344424
142848 104.625 -0.209061743955643 -0.209716312736951 -0.191729911598327
143360 105 -0.204647971951876 -0.205343277300389 -0.191126036054096
143872 105.375 -0.201677036309241 -0.200999221934151 -0.190140712653446
144384 105.75 -0.204737462282641 -0.201807359127783 -0.190416958268403
144896 106.125 -0.207708136808553 -0.203365961620676 -0.191739133088038
145408 106.5 -0.210321419398799 -0.20313626300972 -0.192780924630616
145920 106.875 -0.21004877570161 -0.195981053846426 -0.191709647074295
146432 107.25 -0.209110465159775 -0.188424007936885 -0.188915389201289
146944 107.625 -0.207324381040939 -0.186812451323126 -0.189655960628882
147456 108 -0.204996355797091 -0.187608687107707 -0.190035110482052
147968 108.375 -0.203558352323961 -0.189823526915035 -0.190006083610031
148480 108.75 -0.201321757374502 -0.189931752567962 -0.187663618217567
148992 109.125 -0.197421909253296 -0.188425316519122 -0.184345374040334
149504 109.5 -0.193458647490273 -0.187911484089921 -0.186021937056349
150016 109.875 -0.194739988739996 -0.186824545029481 -0.187474478598645
150528 110.25 -0.19760366443657 -0.187986484121463 -0.188649169916723
151040 110.625 -0.200315338493235 -0.189976929288079 -0.1894979753854
151552 111 -0.202864784634462 -0.191689990021869 -0.186770531736271
152064 111.375 -0.202923228665502 -0.193142239684526 -0.182444225792072
152576 111.75 -0.200990925908853 -0.194271138022051 -0.182170479430158
153088 112.125 -0.198699832547157 -0.195017259235301 -0.184640729080312
153600 112.5 -0.196084197743124 -0.195329086104549 -0.187282248559051
154112 112.875 -0.191762362547957 -0.195152562051511 -0.189850741426053
154624 113.25 -0.186800745748605 -0.193401627706185 -0.192332028382806
155136 113.625 -0.181802048725311 -0.187925547561757 -0.194696471179435
155648 114 -0.177005719844881 -0.188281211622682 -0.196922772420441
156160 114.375 -0.174921140146658 -0.191011583628438 -0.198966410435748
156672 114.75 -0.172118001702771 -0.193666680147446 -0.200841485104233
157184 115.125 -0.170498729383658 -0.196240083952018 -0.202255071458207
157696 115.5 -0.173477466028808 -0.198698234672476 -0.199816261256897
158208 115.875 -0.176380319442613 -0.201003055070123 -0.201393449195709
158720 116.25 -0.179205251383968 -0.203161297179276 -0.203058520636514
159232 116.625 -0.182251165895031 -0.205210959640664 -0.204473610017792
159744 117 -0.185323920608719 -0.207156792546473 -0.205728114216702
160256 117.375 -0.188345599572979 -0.208994675903126 -0.206490695120897
160768 117.75 -0.191047178157447 -0.209988601675743 -0.20893396047606
161280 118.125 -0.192594897142962 -0.212503648534477 -0.211324456696435
161792 118.5 -0.195085700654542 -0.214759054858994 -0.213658143027759
162304 118.875 -0.1975344111307 -0.216646802191182 -0.215934547063107
162816 119.25 -0.199953813339948 -0.216820935256211 -0.218123430938679
163328 119.625 -0.202499030565093 -0.212623196817371 -0.220172187285721
163840 120 -0.205162106750054 -0.208069510267581 -0.22211738917427
164352 120.375 -0.207734449291892 -0.20332853504977 -0.223963611498434
164864 120.75 -0.210227047828178 -0.198541837503228 -0.225710973960557
165376 121.125 -0.207100391779908 -0.200626920531865 -0.227350099896249
165888 121.5 -0.207042189280132 -0.202966212513108 -0.228830139554293
166400 121.875 -0.209720109339258 -0.205296558839022 -0.230150639379449
166912 122.25 -0.212304363676862 -0.207722496023998 -0.231320598702912
167424 122.625 -0.214550859092001 -0.210210680918403 -0.232338121733583
167936 123 -0.212031588551022 -0.212638677590855 -0.233193846675232
168448 123.375 -0.213104740449551 -0.214993613803157 -0.233488998308316
168960 123.75 -0.215318714555441 -0.217149260467595 -0.233736881456259
169472 124.125 -0.21750301337512 -0.218606737496874 -0.233942245036031
169984 124.5 -0.219660725444039 -0.216378838181728 -0.227362490331403
