# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
56832 55.5 0.000315351160944073
57344 56 0.00031765987484577
57856 56.5 0.000319944510137985
58368 57 0.000322200533423888
58880 57.5 0.000324422685951278
59392 58 0.000326605807791677
59904 58.5 0.000328745200276724
60416 59 0.000330835763541501
60928 59.5 0.000332871832288586
61440 60 0.000334848496503398
61952 60.5 0.000336762924154432
62464 61 0.000338613524432531
62976 61.5 0.000340397482618044
63488 62 0.00034211033768984
64000 62.5 0.000343747379836118
64512 63 0.000345304851164865
65024 63.5 0.000346779607901218
65536 64 0.000348168224679597
66048 64.5 0.000349467034557175
66560 65 0.000350673069113417
67072 65.5 0.000351768308873778
67584 66 0.000352686505193362
68096 66.5 0.000353418093953128
68608 67 0.000353965696098103
69120 67.5 0.000354336666727147
69632 68 0.000354541340181235
70144 68.5 0.000354590597474043
70656 69 0.000354494919991601
71168 69.5 0.000354264989859343
71680 70 0.000353912330314548
72192 70.5 0.000353449107540653
72704 71 0.000352887311805802
73216 71.5 0.000352237945072424
73728 72 0.000351510272687986
74240 72.5 0.000350711332793403
74752 73 0.000349846391884808
75264 73.5 0.000348920368867376
75776 74 0.0003479395789219
76288 74.5 0.000346911508328314
76800 75 0.000345841588275714
77312 75.5 0.000344732252806703
77824 76 0.000343583820981684
78336 76.5 0.000342396350840333
78848 77 0.000341170763895352
79360 77.5 0.000339908745854096
79872 78 0.000338611841088468
80384 78.5 0.000337280439475848
80896 79 0.00033591360709009
81408 79.5 0.000334510183071403
81920 80 0.000333070073922098
82432 80.5 0.000331594292000517
82944 81 0.000330084299633988
83456 81.5 0.000328540796904391
83968 82 0.000326964205263306
84480 82.5 0.000325367934145053
84992 83 0.000323769542525714
85504 83.5 0.000322168235416466
86016 84 0.000320559992239002
86528 84.5 0.00031894002003197
87040 85 0.000317306189939705
87552 85.5 0.000315659347324584
88064 86 0.000314000023744174
88576 86.5 0.000312326030746459
89088 87 0.000310633559690874
89600 87.5 0.000308920701360152
90112 88 0.000307188842300671
90624 88.5 0.000305440809285209
91136 89 0.000303678006228407
91648 89.5 0.000301899698791326
92160 90 0.000300104966727812
92672 90.5 0.000298294719561456
93184 91 0.000296471417351859
93696 91.5 0.000294637145349711
94208 92 0.000292792445589257
94720 92.5 0.000290937062474528
95232 93 0.000289071432724213
95744 93.5 0.000287197097437884
96256 94 0.000285315760294977
96768 94.5 0.000283428278918099
97280 95 0.000281534661727644
97792 95.5 0.000279634809273167
98304 96 0.000277729082890114
98816 96.5 0.000275818282284724
99328 97 0.000273903254975709
99840 97.5 0.000271984492303549
100352 98 0.000270061990092813
100864 98.5 0.00026813556690485
101376 99 0.000266205470929456
101888 99.5 0.000264272646664838
102400 100 0.000262338258697055
102912 100.5 0.000260402996327441
103424 101 0.000258467072494567
103936 101.5 0.000256530971252104
104448 102 0.000254595985626527
104960 102.5 0.000252663677376837
105472 103 0.000250735133005688
105984 103.5 0.000248811023709194
106496 104 0.000246887693263254
107008 104.5 0.00024496139230671
107520 105 0.000243035856358996
108032 105.5 0.000241115534555511
108544 106 0.000239205159610056
109056 106.5 0.000237309573725668
109568 107 0.000235433110981431
110080 107.5 0.000233579581434828
110592 108 0.000231752291816502
111104 108.5 0.00022995400071594
111616 109 0.000228186922403664
112128 109.5 0.000226452808220578
112640 110 0.000224752955536512
113152 110.5 0.000223088107007864
113664 111 0.000221458448372445
114176 111.5 0.000219863843482749
114688 112 0.000218304163478587
115200 112.5 0.000216775707899669
115712 113 0.00021527726427595
116224 113.5 0.00021380891354142
116736 114 0.000212370524624089
117248 114.5 0.00021096213471085
117760 115 0.000209584107203082
118272 115.5 0.000208236762261914
118784 116 0.000206920067018327
