# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
16896 16.5 9888.24765335275 9827.13741409451 7.95126104354858 6.00713109970093 4.60953593254089 0 3.34244704246521 99 142566.557277672 142566.557277672 856416 856416 23907.5854374395 23907.5854374395 143616 143616 849.261954746543 321390.289243791 18370.7510225124 303019.538221278 2842 1074206 61598 1012608 0 0 0 0 7.79710745811462 1731334530.47831 21353
17408 17 9700.65522240753 9823.89124317422 8.2529821395874 6.30885219573975 4.86072111129761 0 3.44894599914551 102 139861.891295511 139861.891295511 882368 882368 23454.0286266209 23454.0286266209 147968 147968 854.88704313006 317890.041776548 18535.7198268731 299354.321949675 2940 1082597 63077 1019520 0 0 0 0 8.0765426158905 1731334530.78003 21992
17920 17.5 9558.66265400407 9811.46088357794 8.53501009941101 6.59088015556335 5.08223247528076 0 3.45350766181946 105 137814.673998174 137814.673998174 908320 908320 23110.7221501254 23110.7221501254 152320 152320 857.860054264608 313901.478168035 18626.1633389147 295275.31482912 2966 1084038 64518 1019520 0 0 0 0 8.37128567695618 1731334531.06206 22631
18432 18 9470.76113668829 9800.25086762618 8.78624105453491 6.84211111068726 5.22910714149475 0 3.6183078289032 108 136547.329455186 136547.329455186 934272 934272 22898.1958149263 22898.1958149263 156672 156672 861.929878085358 315365.411430698 18497.1951038429 296868.216326855 3148 1191885 65997 1125888 0 0 0 0 8.617671251297 1731334531.31329 23270
18944 18.5 9483.84934478106 9791.09144667711 8.9665949344635 7.02246499061584 5.34464716911316 0 3.62266659736633 111 136736.032330977 136736.032330977 960224 960224 22929.840193604 22929.840193604 161024 161024 875.219689893395 329413.916847195 18562.3880728431 310851.528774352 3174 1193328 67440 1125888 0 0 0 0 8.79369688034058 1731334531.49364 23909
19456 19 9428.73690626177 9780.19544517719 9.19854807853699 7.25441813468933 5.54562187194824 0 3.68667578697205 114 135941.433439614 135941.433439614 986176 986176 22796.5905644729 22796.5905644729 165376 165376 884.770131455291 327814.451285688 18810.6729000058 309003.778385682 3272 1201713 68913 1132800 0 0 0 0 9.02051496505737 1731334531.72559 24548
19968 19.5 9469.99327735006 9772.7307083399 9.357017993927 7.41288805007935 5.66310334205627 0 3.69463777542114 117 136536.258629883 136536.258629883 1012128 1012128 22896.3393016819 22896.3393016819 169728 169728 891.736899858204 325657.226376572 18990.693237721 306666.533138851 3298 1203157 70357 1132800 0 0 0 0 9.17454385757446 1731334531.88406 25187
20480 20 9446.54877708924 9764.24659055942 9.56596112251282 7.62183117866516 5.80480575561523 0 3.82967638969421 120 136198.241035011 136198.241035011 1038080 1038080 22839.6557099402 22839.6557099402 174080 174080 903.445794849699 329929.470853946 19046.275150045 310883.195703901 3480 1311004 71836 1239168 0 0 0 0 9.37843370437622 1731334532.09301 25826
20992 20.5 9436.24785516705 9755.01221369365 9.7650351524353 7.82090520858765 5.93177819252014 0 3.833988904953 123 136049.724631831 136049.724631831 1064032 1064032 22814.7503698261 22814.7503698261 178432 178432 913.583419170915 342330.29867871 19062.640664094 323267.658014616 3506 1312448 73280 1239168 0 0 0 0 9.57289576530457 1731334532.29208 26465
21504 21 9464.98061987043 9748.64652376239 9.93146800994873 7.98733806610107 6.06758761405945 0 3.8906683921814 126 136463.987248265 136463.987248265 1089984 1089984 22884.2198098201 22884.2198098201 182784 182784 922.388799557999 340746.572124932 19295.6283220668 321450.943802866 3604 1320835 74755 1246080 0 0 0 0 9.73464560508728 1731334532.45851 27104
22016 21.5 9041.31980005885 9699.14762501323 10.5048270225525 8.56069707870483 6.60349726676941 0 3.90209865570068 129 130355.739695071 130355.739695071 1115936 1115936 21859.9020943645 21859.9020943645 187136 187136 929.42668961142 338877.275892981 19478.4867614316 319398.78913155 3630 1322281 76201 1246080 0 0 0 0 10.3035333156586 1731334533.03187 27743
22528 22 8896.21549765669 9670.08914223313 10.8467919826508 8.9026620388031 6.88045930862427 0 4.03560137748718 132 128263.658108437 128263.658108437 1141888 1141888 21509.0721365566 21509.0721365566 191488 191488 940.415317259162 342895.342316139 19533.6615376107 323361.680778528 3812 1430122 77674 1352448 0 0 0 0 10.6398758888245 1731334533.37384 28382
23040 22.5 8869.84389935728 9649.75964932907 11.0761959552765 9.13206601142883 7.03663086891174 0 4.04029130935669 135 127883.438264511 127883.438264511 1167840 1167840 21445.3114722238 21445.3114722238 195840 195840 949.112074698681 354334.431899969 19534.0335687006 334800.398331268 3838 1431566 79118 1352448 0 0 0 0 10.8623261451721 1731334533.60324 29021
23552 23 8892.03894674484 9634.98595327044 11.2558300495148 9.31170010566711 7.18455624580383 0 4.10399317741394 138 128203.441525512 128203.441525512 1193792 1193792 21498.9741645742 21498.9741645742 200192 200192 956.948657309372 352647.861387103 19747.6278620018 332900.233525102 3936 1439959 80599 1359360 0 0 0 0 11.0359437465668 1731334533.78288 29660
24064 23.5 8925.02971504345 9621.92452386385 11.4230899810791 9.47896003723145 7.31548404693604 0 4.10832905769348 141 128679.09509156 128679.09509156 1219744 1219744 21578.7385110384 21578.7385110384 204544 204544 963.578313854424 350859.606083577 19922.3102975364 330937.295786041 3962 1441402 82042 1359360 0 0 0 0 11.1983458995819 1731334533.95014 30299
24576 24 8917.251571669 9606.81203482 11.6332139968872 9.68908405303955 7.46237778663635 0 4.23197388648987 144 128566.951548863 128566.951548863 1245696 1245696 21559.9326888353 21559.9326888353 208896 208896 973.905422134928 354642.55258085 19975.8503571132 334666.702223736 4144 1549243 83515 1465728 0 0 0 0 11.4035558700562 1731334534.16026 30938
25088 24.5 8941.34555961585 9594.39566022032 11.8084170818329 9.86428713798523 7.57288956642151 0 4.23627018928528 147 128914.333312861 128914.333312861 1271648 1271648 21618.1865974712 21618.1865974712 213248 213248 983.584685695372 366063.021514667 20007.4252124813 346055.596302186 4170 1550679 84951 1465728 0 0 0 0 11.5743312835693 1731334534.33546 31577
25600 25 8980.07932851403 9584.53037973176 11.966313123703 10.0221831798553 7.7004714012146 0 4.29679727554321 150 129472.788185331 129472.788185331 1297600 1297600 21711.8362431628 21711.8362431628 217600 217600 991.129131142182 364485.862614943 20214.2989847496 344271.563630193 4268 1559071 86431 1472640 0 0 0 0 11.7274870872498 1731334534.49336 32216
26112 25.5 8988.63544910167 9573.04671458675 12.157026052475 10.2128961086273 7.85660862922668 0 4.30135345458984 153 129596.148430604 129596.148430604 1323552 1323552 21732.5230413836 21732.5230413836 221952 221952 997.57757858761 362825.708863731 20384.5327958385 342441.176067892 4294 1560511 87871 1472640 0 0 0 0 11.9130802154541 1731334534.68407 32855
26624 26 8980.11061689112 9561.17067208531 12.3671641349792 10.4230341911316 8.00823092460632 0 4.42446327209473 156 129473.239294199 129473.239294199 1349504 1349504 21711.9118915057 21711.9118915057 226304 226304 1008.04481003371 366664.255418417 20451.1048225888 346213.150595829 4476 1668354 89346 1579008 0 0 0 0 12.1188580989838 1731334534.89421 33494
27136 26.5 8998.51185289757 9551.13947611198 12.5458829402924 10.6017529964447 8.11774659156799 0 4.428870677948 159 129738.544225777 129738.544225777 1375456 1375456 21756.4019910057 21756.4019910057 230656 230656 1015.77721320523 377041.009697221 20455.7838482309 356585.22584899 4502 1669797 90789 1579008 0 0 0 0 12.2931842803955 1731334535.07293 34133
27648 27 9036.82924482362 9543.60590441197 12.7001149654388 10.7559850215912 8.24380207061768 0 4.48767495155334 162 130290.99586759 130290.99586759 1401408 1401408 21849.0449297069 21849.0449297069 235008 235008 1023.26746519512 375636.774057172 20659.9047627455 354976.869294426 4600 1678188 92268 1585920 0 0 0 0 12.442884683609 1731334535.22716 34772
