# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
221696 162.375 0.00127135433566949
222208 162.75 0.00127126468225285
222720 163.125 0.00127117591996823
223232 163.5 0.00127108880471911
223744 163.875 0.00127100369022974
224256 164.25 0.00127092012163563
224768 164.625 0.00127083739776733
225280 165 0.00127075538783437
225792 165.375 0.00127067458167206
226304 165.75 0.00127059542670499
226816 166.125 0.00127051789129258
227328 166.5 0.00127044171055634
227840 166.875 0.00127036678098673
228352 167.25 0.00127029312847707
228864 167.625 0.00127022066576779
229376 168 0.00127014925606762
229888 168.375 0.00127007899185254
230400 168.75 0.00127001014823824
230912 169.125 0.00126994277219842
231424 169.5 0.00126987652919286
231936 169.875 0.00126981111156464
232448 170.25 0.00126974663452404
232960 170.625 0.0012696834113651
233472 171 0.00126962143094412
233984 171.375 0.00126956031345536
234496 171.75 0.0012694997909082
235008 172.125 0.00126944000756974
235520 172.5 0.00126938126986868
236032 172.875 0.00126932364553306
236544 173.25 0.00126926687316748
237056 173.625 0.00126921056322326
237568 174 0.00126915447299647
238080 174.375 0.00126909871487612
238592 174.75 0.00126904370346708
239104 175.125 0.00126898972939424
239616 175.5 0.00126893653965754
240128 175.875 0.00126888351323071
240640 176.25 0.00126883032945623
241152 176.625 0.00126877728046992
241664 177 0.00126872479313823
242176 177.375 0.00126867283365456
242688 177.75 0.00126862103554827
243200 178.125 0.00126856931238869
243712 178.5 0.00126851797415978
244224 178.875 0.00126846711587832
244736 179.25 0.00126841623479988
245248 179.625 0.00126836482563073
245760 180 0.00126831322004239
246272 180.375 0.00126826234075248
246784 180.75 0.00126821247274707
247296 181.125 0.00126816272190432
247808 181.5 0.00126811207492996
248320 181.875 0.00126806071822785
248832 182.25 0.00126800980466465
249344 182.625 0.00126796000613636
249856 183 0.00126791083030457
250368 183.375 0.00126786143893588
250880 183.75 0.00126781161305484
251392 184.125 0.00126776167601872
251904 184.5 0.0012677119392027
252416 184.875 0.00126766262664505
252928 185.25 0.00126761401558977
253440 185.625 0.00126756614150063
253952 186 0.00126751848285588
254464 186.375 0.00126747042598744
254976 186.75 0.00126742210350547
255488 187.125 0.00126737439936621
256000 187.5 0.00126732797467841
256512 187.875 0.00126728253848613
257024 188.25 0.0012672372551461
257536 188.625 0.00126719171996508
258048 189 0.00126714634977867
258560 189.375 0.00126710185414441
259072 189.75 0.00126705847655656
259584 190.125 0.00126701584048951
260096 190.5 0.00126697351632779
260608 190.875 0.00126693161120007
261120 191.25 0.00126689064282786
261632 191.625 0.0012668508413646
262144 192 0.00126681181001578
262656 192.375 0.00126677305275318
263168 192.75 0.00126673470139399
263680 193.125 0.0012666974639478
264192 193.5 0.00126666184531727
