# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
95232 111.6 714.030825203382 731.527831385792 566.705049991608 562.66478395462 547.793704986572 0 18.972051858902 558 51896.8181992265 51896.8181992265 29200512 29200512 22478.7482008472 22478.7482008472 12648000 12648000 820.459887748262 853321.590595655 15323.0243498198 837998.566245835 15556 16145160 289992 15855168 0 0 0 0 564.779660463333 1731250701.07861 119120
95744 112.2 715.844148505866 731.481341359886 568.297165870667 564.256899833679 549.313061714172 0 18.9864649772644 561 52028.613223256 52028.613223256 29357504 29357504 22535.8343048143 22535.8343048143 12716000 12716000 820.581254273778 850525.938274341 15344.6798225846 835181.258451757 15582 16146686 291518 15855168 0 0 0 0 566.363980531693 1731250702.67073 119759
96256 112.8 717.920318631334 731.447081202934 569.674068927765 565.633802890778 550.559686183929 0 19.2217140197754 564 52179.5123437826 52179.5123437826 29514496 29514496 22601.1952161716 22601.1952161716 12784000 12784000 820.429318077644 849550.007322998 15319.9820221472 834230.025300851 15764 16473461 293045 16180416 0 0 0 0 567.722074508667 1731250704.04763 120398
96768 113.4 719.831548177933 731.414474085609 571.172952890396 567.132686853409 551.940880775452 0 19.2416832447052 567 52318.4233386806 52318.4233386806 29671488 29671488 22661.3635537497 22661.3635537497 12852000 12852000 820.816389708384 856630.263319267 15305.6310438471 841324.63227542 15790 16474987 294571 16180416 0 0 0 0 569.203394889832 1731250705.54652 121037
97280 114 721.990181210412 731.391467003476 572.469048976898 568.428782939911 553.170162439346 0 19.3643801212311 570 52475.315985456 52475.315985456 29828480 29828480 22729.320519587 22729.320519587 12920000 12920000 821.187272600566 853982.428879063 15331.7653546625 838650.6635244 15888 16488603 296091 16192512 0 0 0 0 570.494436740875 1731250706.84261 121676
97792 114.6 723.940437049719 731.37080938826 573.921403884888 569.8811378479 554.54533290863 0 19.3775489330292 573 52617.0634691247 52617.0634691247 29985472 29985472 22790.7174626763 22790.7174626763 12988000 12988000 821.115902160737 851042.764046748 15346.4033221371 835696.360724611 15914 16490078 297566 16192512 0 0 0 0 571.939021110535 1731250708.29497 122315
98304 115.2 725.777407445555 731.354736418607 575.455132007599 571.414865970612 555.976008176804 0 19.5618150234222 576 52750.5771989318 52750.5771989318 30142464 30142464 22848.5480121749 22848.5480121749 13056000 13056000 822.110898780923 851271.091248204 15343.5545970241 835927.53665118 16096 16816851 299091 16517760 0 0 0 0 573.281864881516 1731250709.8287 122954
98816 115.8 720.862373011205 731.218424636704 582.347604036331 578.307337999344 562.777263879776 0 19.5717480182648 579 52393.3452147107 52393.3452147107 30299456 30299456 22693.815446649 22693.815446649 13124000 13124000 823.593247284524 859369.886545722 15349.8098447399 844020.076700982 16122 16818372 300612 16517760 0 0 0 0 580.347585678101 1731250716.72117 123593
99328 116.4 722.925715403636 731.197701474237 583.684883832932 579.644617795944 564.038619756699 0 19.7028543949127 582 52543.3119965961 52543.3119965961 30456448 30456448 22758.7725219663 22758.7725219663 13192000 13192000 823.566248382754 856360.727653722 15367.8581753998 840992.869478322 16220 16831989 302133 16529856 0 0 0 0 581.665582418442 1731250718.05845 124232
99840 117 724.985185443028 731.182156621917 585.017654895782 580.977388858795 565.304040670395 0 19.7217674255371 585 52692.9973301259 52692.9973301259 30613440 30613440 22823.6076898731 22823.6076898731 13260000 13260000 823.897628020094 853892.280103653 15392.7634238279 838499.516679825 16246 16833508 303652 16529856 0 0 0 0 582.992607593536 1731250719.39122 124871
100352 117.6 726.947164513667 731.170858222603 586.420968055725 582.380702018738 566.56915473938 0 19.9455206394196 588 52835.5968756155 52835.5968756155 30770432 30770432 22885.3736976525 22885.3736976525 13328000 13328000 823.400852079409 852587.153137506 15359.8563083877 837227.296829118 16428 17160242 305138 16855104 0 0 0 0 584.366211652756 1731250720.79453 125510
100864 118.2 718.493284566311 730.943801172755 596.279621839523 592.239355802536 576.327959299088 0 19.9531097412109 591 52221.1563567751 52221.1563567751 30927424 30927424 22619.2330326431 22619.2330326431 13396000 13396000 824.492694113134 860157.84224592 15360.8752843965 844796.966961523 16454 17161796 306692 16855104 0 0 0 0 594.22735953331 1731250730.65318 126149
101376 118.8 720.304217077172 730.915544179891 597.789392948151 593.749126911163 577.759074211121 0 20.0909430980682 594 52352.7776145275 52352.7776145275 31084416 31084416 22676.243870948 22676.243870948 13464000 13464000 824.350336945676 857087.359686495 15377.7383197883 841709.621366707 16552 17175438 308238 16867200 0 0 0 0 595.72344660759 1731250732.16296 126788
101888 119.4 719.192977712611 730.833391696974 601.710172891617 597.66990685463 581.608594894409 0 20.1056499481201 597 52272.0110912307 52272.0110912307 31241408 31241408 22641.2604094711 22641.2604094711 13532000 13532000 824.51238416717 854498.736486562 15400.4327442852 839098.303742277 16578 17176988 309788 16867200 0 0 0 0 599.639537096024 1731250736.08374 127427
102400 120 720.864240517466 730.805554840785 603.320929050446 599.280663013458 583.100515127182 0 20.2835531234741 600 52393.4809478324 52393.4809478324 31398400 31398400 22693.8742385128 22693.8742385128 13600000 13600000 824.810019384024 854035.385503761 15386.6780957462 838648.707408015 16760 17503781 311333 17192448 0 0 0 0 601.231987476349 1731250737.69449 128066
102912 120.6 722.770928902806 730.785504111772 604.728509902954 600.688243865967 584.43875336647 0 20.2911913394928 603 52532.0618844025 52532.0618844025 31555392 31555392 22753.8996136069 22753.8996136069 13668000 13668000 827.116873966608 862754.216322087 15408.0212563348 847346.195065753 16786 17505288 312840 17192448 0 0 0 0 602.625847578049 1731250739.10207 128705
