# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
97792 114.6 -0.252554394626745 -0.252554394626742 -0.252554394626744
98304 115.2 -0.252657946555757 -0.252657946555754 -0.252657946555756
98816 115.8 -0.252878728651462 -0.252878728651462 -0.252878728651462
99328 116.4 -0.253134292516079 -0.253134292516081 -0.253134292516079
99840 117 -0.253363309991058 -0.25336330999106 -0.253363309991058
100352 117.6 -0.253524363507574 -0.253524363507572 -0.253524363507574
100864 118.2 -0.25359818324841 -0.253598183248405 -0.25359818324841
101376 118.8 -0.25358920220862 -0.253589202208616 -0.25358920220862
101888 119.4 -0.253507917742214 -0.253507917742215 -0.253507917742215
102400 120 -0.253372187486203 -0.253372187486206 -0.253372187486204
102912 120.6 -0.253326238016297 -0.253326238016298 -0.253326238016297
103424 121.2 -0.253300389225671 -0.253300389225669 -0.25330038922567
103936 121.8 -0.253196047195709 -0.253196047195705 -0.253196047195707
104448 122.4 -0.25291474282678 -0.252914742826778 -0.252914742826781
104960 123 -0.25250854525712 -0.252508545257118 -0.252508545257121
105472 123.6 -0.252026708126474 -0.252026708126473 -0.252026708126475
105984 124.2 -0.251506000382337 -0.251506000382337 -0.251506000382338
106496 124.8 -0.250971951059145 -0.250971951059146 -0.250971951059146
107008 125.4 -0.250311506335012 -0.250311506335013 -0.250311506335014
107520 126 -0.249484497503114 -0.249484497503114 -0.249484497503115
108032 126.6 -0.248600725611374 -0.248600725611372 -0.248600725611374
108544 127.2 -0.247869027329716 -0.247869027329714 -0.247869027329718
109056 127.8 -0.247375787013552 -0.247375787013551 -0.247375787013555
109568 128.4 -0.246604552790033 -0.246604552790032 -0.246604552790035
110080 129 -0.245478675924056 -0.245478675924055 -0.245478675924056
110592 129.6 -0.244620980483672 -0.244620980483671 -0.244620980483672
111104 130.2 -0.243958605787095 -0.243958605787094 -0.243958605787097
111616 130.8 -0.243435929753099 -0.243435929753098 -0.243435929753101
112128 131.4 -0.243007298021015 -0.243007298021016 -0.243007298021017
112640 132 -0.24263309218154 -0.24263309218154 -0.24263309218154
113152 132.6 -0.242304103899767 -0.242304103899765 -0.242304103899767
113664 133.2 -0.242014016786047 -0.242014016786045 -0.242014016786047
114176 133.8 -0.241757403045354 -0.241757403045353 -0.241757403045355
114688 134.4 -0.241528329564019 -0.241528329564018 -0.24152832956402
115200 135 -0.241329132894081 -0.241329132894079 -0.241329132894081
115712 135.6 -0.241149100807692 -0.241149100807691 -0.241149100807691
116224 136.2 -0.240960598553993 -0.240960598553992 -0.240960598553993
116736 136.8 -0.240791057677276 -0.240791057677275 -0.240791057677278
117248 137.4 -0.240638513182656 -0.240638513182655 -0.240638513182658
117760 138 -0.240501166606645 -0.240501166606645 -0.240501166606647
118272 138.6 -0.240377714239594 -0.240377714239595 -0.240377714239597
118784 139.2 -0.240267290284212 -0.240267290284213 -0.240267290284215
119296 139.8 -0.24016922701076 -0.24016922701076 -0.240169227010762
119808 140.4 -0.240086670321661 -0.240086670321662 -0.240086670321663
120320 141 -0.240024836173443 -0.240024836173443 -0.240024836173444
120832 141.6 -0.239985283354267 -0.239985283354264 -0.239985283354266
121344 142.2 -0.239960840431914 -0.239960840431911 -0.239960840431915
121856 142.8 -0.239945725544446 -0.239945725544444 -0.239945725544448
122368 143.4 -0.239940612527383 -0.239940612527385 -0.239940612527387
122880 144 -0.239947864290035 -0.239947864290037 -0.239947864290038
123392 144.6 -0.239967922071436 -0.239967922071434 -0.239967922071435
123904 145.2 -0.240120724214186 -0.240120724214183 -0.240120724214185
124416 145.8 -0.240372234324131 -0.24037223432413 -0.240372234324131
124928 146.4 -0.240641075053802 -0.240641075053803 -0.240641075053804
125440 147 -0.240883585605036 -0.240883585605036 -0.240883585605038
125952 147.6 -0.241083825960202 -0.2410838259602 -0.241083825960202
126464 148.2 -0.241233560812287 -0.241233560812286 -0.241233560812287
126976 148.8 -0.241329006749939 -0.241329006749938 -0.241329006749939
127488 149.4 -0.241371335579215 -0.241371335579214 -0.241371335579216
128000 150 -0.241396229655284 -0.241396229655286 -0.241396229655286
128512 150.6 -0.241460479752426 -0.241460479752429 -0.241460479752428
129024 151.2 -0.241348593158287 -0.241348593158286 -0.241348593158286
129536 151.8 -0.241089708230258 -0.241089708230254 -0.241089708230256
130048 152.4 -0.240760811746232 -0.240760811746229 -0.240760811746231
130560 153 -0.240418942367356 -0.240418942367356 -0.240418942367356
131072 153.6 -0.24003885850952 -0.240038858509522 -0.24003885850952
131584 154.2 -0.239555376859114 -0.239555376859115 -0.239555376859116
132096 154.8 -0.238990885782333 -0.238990885782333 -0.238990885782336
132608 155.4 -0.23836002651531 -0.238360026515308 -0.23836002651531
133120 156 -0.237670048121105 -0.237670048121103 -0.237670048121103
133632 156.6 -0.237034117624792 -0.237034117624792 -0.23703411762479
134144 157.2 -0.236659120704802 -0.236659120704804 -0.236659120704804
134656 157.8 -0.236620388694569 -0.23662038869457 -0.236620388694571
135168 158.4 -0.236910390698698 -0.236910390698697 -0.236910390698696
135680 159 -0.2374173265685 -0.237417326568499 -0.237417326568497
136192 159.6 -0.238025088014774 -0.238025088014774 -0.238025088014773
136704 160.2 -0.238024330035193 -0.238024330035192 -0.238024330035195
137216 160.8 -0.238103505991489 -0.238103505991487 -0.23810350599149
137728 161.4 -0.238387546594013 -0.238387546594013 -0.238387546594013
138240 162 -0.238897284237003 -0.238897284237004 -0.238897284237004
138752 162.6 -0.239630348605697 -0.239630348605698 -0.239630348605697
139264 163.2 -0.240378748811345 -0.240378748811344 -0.240378748811344
139776 163.8 -0.240942293975136 -0.240942293975135 -0.240942293975136
140288 164.4 -0.241300485559638 -0.241300485559638 -0.241300485559639
140800 165 -0.241518174610083 -0.241518174610085 -0.241518174610084
141312 165.6 -0.241644303484519 -0.241644303484521 -0.241644303484519
141824 166.2 -0.241709882161988 -0.241709882161988 -0.241709882161987
142336 166.8 -0.2417368448786 -0.241736844878599 -0.2417368448786
142848 167.4 -0.24173883084799 -0.241738830847989 -0.241738830847991
143360 168 -0.241724444594371 -0.241724444594371 -0.241724444594372
143872 168.6 -0.241701360594114 -0.241701360594115 -0.241701360594115
144384 169.2 -0.241671305942862 -0.241671305942864 -0.241671305942864
144896 169.8 -0.241634266454208 -0.241634266454208 -0.241634266454209
145408 170.4 -0.241568982730642 -0.24156898273064 -0.241568982730643
145920 171 -0.241505408272499 -0.241505408272498 -0.2415054082725
